Freq.	V(n004)/V(ampli:n003)	V(n004)/V(ampli:n010)
1.00000000000000e-001	(5.66344898862009e+001dB,-1.79998013064316e+002°)	(5.47095874110742e+001dB,1.79998266817417e+002°)
1.03526492384138e-001	(5.66344898896148e+001dB,-1.79998067080155e+002°)	(5.47095874086786e+001dB,1.79998307028034e+002°)
1.07177346253629e-001	(5.66344898928353e+001dB,-1.79998118774114e+002°)	(5.47095874064277e+001dB,1.79998345205002e+002°)
1.10956947206785e-001	(5.66344898958605e+001dB,-1.79998168208295e+002°)	(5.47095874042937e+001dB,1.79998381394183e+002°)
1.14869835499704e-001	(5.66344898987283e+001dB,-1.79998215442086e+002°)	(5.47095874022907e+001dB,1.79998415639053e+002°)
1.18920711500272e-001	(5.66344899014376e+001dB,-1.79998260532232e+002°)	(5.47095874003947e+001dB,1.79998447980755e+002°)
1.23114441334492e-001	(5.66344899039788e+001dB,-1.79998303532902e+002°)	(5.47095873985753e+001dB,1.79998478458142e+002°)
1.27456062731926e-001	(5.66344899064017e+001dB,-1.79998344495758e+002°)	(5.47095873968618e+001dB,1.79998507107831e+002°)
1.31950791077289e-001	(5.66344899086867e+001dB,-1.79998383470013e+002°)	(5.47095873952162e+001dB,1.79998533964243e+002°)
1.36604025675440e-001	(5.66344899108627e+001dB,-1.79998420502491e+002°)	(5.47095873936497e+001dB,1.79998559059644e+002°)
1.41421356237310e-001	(5.66344899129308e+001dB,-1.79998455637686e+002°)	(5.47095873921468e+001dB,1.79998582424188e+002°)
1.46408569594563e-001	(5.66344899149247e+001dB,-1.79998488917812e+002°)	(5.47095873907256e+001dB,1.79998604085946e+002°)
1.51571656651040e-001	(5.66344899168085e+001dB,-1.79998520382856e+002°)	(5.47095873893357e+001dB,1.79998624070949e+002°)
1.56916819579350e-001	(5.66344899185955e+001dB,-1.79998550070623e+002°)	(5.47095873879767e+001dB,1.79998642403209e+002°)
1.62450479271247e-001	(5.66344899203630e+001dB,-1.79998578016788e+002°)	(5.47095873867126e+001dB,1.79998659104758e+002°)
1.68179283050743e-001	(5.66344899220238e+001dB,-1.79998604254930e+002°)	(5.47095873854446e+001dB,1.79998674195666e+002°)
1.74110112659225e-001	(5.66344899236414e+001dB,-1.79998628816580e+002°)	(5.47095873842248e+001dB,1.79998687694071e+002°)
1.80250092522166e-001	(5.66344899253722e+001dB,-1.79998651731254e+002°)	(5.47095873831981e+001dB,1.79998699616197e+002°)
1.86606598307362e-001	(5.66344899268814e+001dB,-1.79998673026491e+002°)	(5.47095873820212e+001dB,1.79998709976376e+002°)
1.93187265784969e-001	(5.66344899283548e+001dB,-1.79998692727886e+002°)	(5.47095873808701e+001dB,1.79998718787064e+002°)
2.00000000000000e-001	(5.66344899297881e+001dB,-1.79998710859117e+002°)	(5.47095873797321e+001dB,1.79998726058856e+002°)
2.07052984768276e-001	(5.66344899312156e+001dB,-1.79998727441980e+002°)	(5.47095873786334e+001dB,1.79998731800500e+002°)
2.14354692507259e-001	(5.66344899325766e+001dB,-1.79998742496410e+002°)	(5.47095873775062e+001dB,1.79998736018904e+002°)
2.21913894413569e-001	(5.66344899339644e+001dB,-1.79998756040506e+002°)	(5.47095873764370e+001dB,1.79998738719148e+002°)
2.29739670999407e-001	(5.66344899352843e+001dB,-1.79998768090555e+002°)	(5.47095873753254e+001dB,1.79998739904489e+002°)
2.37841423000545e-001	(5.66344899365976e+001dB,-1.79998778661046e+002°)	(5.47095873742273e+001dB,1.79998739576364e+002°)
2.46228882668984e-001	(5.66344899378899e+001dB,-1.79998787764695e+002°)	(5.47095873731234e+001dB,1.79998737734393e+002°)
2.54912125463853e-001	(5.66344899391715e+001dB,-1.79998795412453e+002°)	(5.47095873720199e+001dB,1.79998734376375e+002°)
2.63901582154579e-001	(5.66344899404563e+001dB,-1.79998801613525e+002°)	(5.47095873709272e+001dB,1.79998729498292e+002°)
2.73208051350880e-001	(5.66344899417301e+001dB,-1.79998806375376e+002°)	(5.47095873698279e+001dB,1.79998723094296e+002°)
2.82842712474620e-001	(5.66344899429849e+001dB,-1.79998809703743e+002°)	(5.47095873687120e+001dB,1.79998715156709e+002°)
2.92817139189126e-001	(5.66344899442204e+001dB,-1.79998811602639e+002°)	(5.47095873675771e+001dB,1.79998705676009e+002°)
3.03143313302080e-001	(5.66344899454657e+001dB,-1.79998812074362e+002°)	(5.47095873664512e+001dB,1.79998694640819e+002°)
3.13833639158701e-001	(5.66344899467231e+001dB,-1.79998811119492e+002°)	(5.47095873653358e+001dB,1.79998682037896e+002°)
3.24900958542495e-001	(5.66344899479437e+001dB,-1.79998808736899e+002°)	(5.47095873641818e+001dB,1.79998667852112e+002°)
3.36358566101487e-001	(5.66344899495066e+001dB,-1.79998804923731e+002°)	(5.47095873633673e+001dB,1.79998652066438e+002°)
3.48220225318451e-001	(5.66344899506915e+001dB,-1.79998799675422e+002°)	(5.47095873621755e+001dB,1.79998634661921e+002°)
3.60500185044333e-001	(5.66344899519034e+001dB,-1.79998792985678e+002°)	(5.47095873610111e+001dB,1.79998615617663e+002°)
3.73213196614724e-001	(5.66344899531143e+001dB,-1.79998784846472e+002°)	(5.47095873598477e+001dB,1.79998594910795e+002°)
3.86374531569939e-001	(5.66344899542744e+001dB,-1.79998775248035e+002°)	(5.47095873586376e+001dB,1.79998572516450e+002°)
4.00000000000001e-001	(5.66344899554493e+001dB,-1.79998764178844e+002°)	(5.47095873574483e+001dB,1.79998548407733e+002°)
4.14105969536552e-001	(5.66344899565908e+001dB,-1.79998751625607e+002°)	(5.47095873562345e+001dB,1.79998522555686e+002°)
4.28709385014519e-001	(5.66344899577140e+001dB,-1.79998737573248e+002°)	(5.47095873550136e+001dB,1.79998494929257e+002°)
4.43827788827140e-001	(5.66344899589932e+001dB,-1.79998722004887e+002°)	(5.47095873539625e+001dB,1.79998465495263e+002°)
4.59479341998816e-001	(5.66344899600836e+001dB,-1.79998704901823e+002°)	(5.47095873527403e+001dB,1.79998434218345e+002°)
4.75682846001090e-001	(5.66344899614942e+001dB,-1.79998686243510e+002°)	(5.47095873518570e+001dB,1.79998401060931e+002°)
4.92457765337968e-001	(5.66344899625007e+001dB,-1.79998666007528e+002°)	(5.47095873505943e+001dB,1.79998365983187e+002°)
5.09824250927707e-001	(5.66344899634715e+001dB,-1.79998644169566e+002°)	(5.47095873493220e+001dB,1.79998328942972e+002°)
5.27803164309160e-001	(5.66344899644410e+001dB,-1.79998620703382e+002°)	(5.47095873480771e+001dB,1.79998289895786e+002°)
5.46416102701760e-001	(5.66344899653648e+001dB,-1.79998595580779e+002°)	(5.47095873468180e+001dB,1.79998248794716e+002°)
5.65685424949240e-001	(5.66344899664241e+001dB,-1.79998568771568e+002°)	(5.47095873457278e+001dB,1.79998205590382e+002°)
5.85634278378253e-001	(5.66344899672481e+001dB,-1.79998540243534e+002°)	(5.47095873444392e+001dB,1.79998160230875e+002°)
6.06286626604162e-001	(5.66344899680387e+001dB,-1.79998509962393e+002°)	(5.47095873431553e+001dB,1.79998112661699e+002°)
6.27667278317403e-001	(5.66344899691334e+001dB,-1.79998477891757e+002°)	(5.47095873422141e+001dB,1.79998062825698e+002°)
6.49801917084991e-001	(5.66344899701810e+001dB,-1.79998443993086e+002°)	(5.47095873412670e+001dB,1.79998010662997e+002°)
6.72717132202974e-001	(5.66344899708151e+001dB,-1.79998408225644e+002°)	(5.47095873399500e+001dB,1.79997956110922e+002°)
6.96440450636902e-001	(5.66344899714053e+001dB,-1.79998370546448e+002°)	(5.47095873386320e+001dB,1.79997899103931e+002°)
7.21000370088667e-001	(5.66344899721104e+001dB,-1.79998330910220e+002°)	(5.47095873374716e+001dB,1.79997839573532e+002°)
7.46426393229449e-001	(5.66344899727562e+001dB,-1.79998289269330e+002°)	(5.47095873362952e+001dB,1.79997777448199e+002°)
7.72749063139880e-001	(5.66344899731426e+001dB,-1.79998245573739e+002°)	(5.47095873349031e+001dB,1.79997712653292e+002°)
