time	V(n002)
0.000000000000000e+000	-3.858978e+001
3.302833660820905e-010	-3.858813e+001
6.605667321641810e-010	-3.858648e+001
9.908500982462714e-010	-3.858483e+001
1.321133464328362e-009	-3.858318e+001
1.651416830410453e-009	-3.858152e+001
1.981700196492543e-009	-3.857987e+001
2.311983562574633e-009	-3.857822e+001
1.039769784830665e-008	-3.853736e+001
1.848341213403867e-008	-3.849588e+001
2.656912641977069e-008	-3.845377e+001
3.465484070550271e-008	-3.841104e+001
4.274055499123472e-008	-3.836767e+001
5.082626927696674e-008	-3.832367e+001
5.891198356269874e-008	-3.827905e+001
5.911198356269918e-008	-3.827794e+001
6.765484070557505e-008	-3.823009e+001
7.619769784845094e-008	-3.818155e+001
8.474055499132681e-008	-3.813232e+001
9.328341213420270e-008	-3.808239e+001
1.018262692770786e-007	-3.803176e+001
1.103691264199544e-007	-3.798044e+001
1.189119835628303e-007	-3.792842e+001
1.191119835628307e-007	-3.792720e+001
1.276548407057066e-007	-3.787447e+001
1.361976978485825e-007	-3.782106e+001
1.447405549914584e-007	-3.776697e+001
1.532834121343343e-007	-3.771218e+001
1.618262692772102e-007	-3.765671e+001
1.703691264200860e-007	-3.760056e+001
1.789119835629619e-007	-3.754371e+001
1.791119835629623e-007	-3.754237e+001
2.391119835630939e-007	-3.712389e+001
2.991119835632254e-007	-3.667218e+001
3.591119835633570e-007	-3.618772e+001
4.191119835634886e-007	-3.567103e+001
4.791119835636201e-007	-3.512263e+001
5.391119835637517e-007	-3.454310e+001
5.991119835638832e-007	-3.393301e+001
6.591119835640148e-007	-3.329298e+001
6.676548407068907e-007	-3.319945e+001
6.761976978497665e-007	-3.310534e+001
6.847405549926425e-007	-3.301063e+001
6.932834121355184e-007	-3.291534e+001
7.018262692783942e-007	-3.281946e+001
7.103691264212701e-007	-3.272299e+001
7.189119835641459e-007	-3.262594e+001
7.191119835641464e-007	-3.262366e+001
7.276548407070222e-007	-3.252602e+001
7.361976978498981e-007	-3.242780e+001
7.447405549927741e-007	-3.232900e+001
7.532834121356499e-007	-3.222963e+001
7.618262692785258e-007	-3.212969e+001
7.703691264214016e-007	-3.202918e+001
7.789119835642775e-007	-3.192809e+001
7.791119835642779e-007	-3.192572e+001
7.876548407071538e-007	-3.182405e+001
7.961976978500297e-007	-3.172182e+001
8.047405549929056e-007	-3.161903e+001
8.132834121357815e-007	-3.151569e+001
8.218262692786573e-007	-3.141178e+001
8.303691264215332e-007	-3.130732e+001
8.389119835644091e-007	-3.120229e+001
8.391119835644095e-007	-3.119983e+001
8.464834121358543e-007	-3.110875e+001
8.538548407072990e-007	-3.101727e+001
8.612262692787437e-007	-3.092538e+001
8.685976978501884e-007	-3.083308e+001
8.759691264216332e-007	-3.074038e+001
8.833405549930780e-007	-3.064727e+001
8.907119835645226e-007	-3.055375e+001
8.991119835645411e-007	-3.044670e+001
9.031976978502643e-007	-3.039445e+001
9.072834121359876e-007	-3.034207e+001
