time	V(n001)
0.000000000000000e+000	-3.453390e-016
4.999999999991990e-008	4.429645e-004
1.499999999999765e-007	1.328893e-003
1.087274892612084e-006	9.633104e-003
2.024549785224191e-006	1.793626e-002
2.961824677836299e-006	2.623837e-002
3.899099570448406e-006	3.453942e-002
4.836374463060514e-006	4.283942e-002
5.773649355672621e-006	5.113837e-002
6.710924248284726e-006	5.943627e-002
7.210924248284793e-006	6.386167e-002
7.710924248284859e-006	6.828643e-002
8.210924248284925e-006	7.271053e-002
8.710924248284992e-006	7.713390e-002
9.210924248285058e-006	8.155651e-002
9.710924248285124e-006	8.597832e-002
1.021092424828519e-005	9.039928e-002
1.071092424828526e-005	9.481935e-002
1.121092424828532e-005	9.923849e-002
1.171092424828539e-005	1.036566e-001
1.221092424828546e-005	1.080738e-001
1.271092424828552e-005	1.124898e-001
1.321092424828559e-005	1.169048e-001
1.371092424828566e-005	1.213186e-001
1.421092424828572e-005	1.257312e-001
1.471092424828579e-005	1.301425e-001
1.521092424828585e-005	1.345526e-001
1.571092424828592e-005	1.389614e-001
1.621092424828599e-005	1.433688e-001
1.721092424828612e-005	1.521792e-001
1.821092424828625e-005	1.609837e-001
1.971092424828645e-005	1.741783e-001
2.071092424828658e-005	1.829671e-001
2.171092424828672e-005	1.917478e-001
2.271092424828685e-005	2.005204e-001
2.371092424828698e-005	2.092849e-001
2.471092424828712e-005	2.180414e-001
2.571092424828725e-005	2.267897e-001
2.671092424828738e-005	2.355299e-001
2.902625212594954e-005	2.557387e-001
3.134158000361169e-005	2.758828e-001
3.365690788127385e-005	2.959622e-001
3.597223575893600e-005	3.159770e-001
3.828756363659816e-005	3.359272e-001
4.060289151426031e-005	3.558126e-001
4.291821939192246e-005	3.756335e-001
4.320488569746353e-005	3.780807e-001
4.336028004643211e-005	3.794067e-001
4.367106874436947e-005	3.820576e-001
4.432200001703332e-005	3.876051e-001
4.532200001703345e-005	3.961152e-001
4.574707191704660e-005	3.997285e-001
4.592865346011955e-005	4.012712e-001
4.602779579817294e-005	4.021132e-001
4.610176003652937e-005	4.027412e-001
4.616971411491888e-005	4.033181e-001
4.624524005281973e-005	4.039592e-001
4.631376885915156e-005	4.045408e-001
4.638457622220299e-005	4.051417e-001
4.645663897665550e-005	4.057532e-001
4.653473287410254e-005	4.064157e-001
4.661937606715303e-005	4.071337e-001
4.671589664799664e-005	4.079523e-001
4.682684233187572e-005	4.088930e-001
4.695972292472492e-005	4.100195e-001
4.713278614007542e-005	4.114862e-001
4.735294765458010e-005	4.133513e-001
4.753599899479121e-005	4.149016e-001
4.766318431497787e-005	4.159784e-001
4.775629097700891e-005	4.167665e-001
4.782139893929043e-005	4.173175e-001
4.786191150139428e-005	4.176603e-001
4.789028135171632e-005	4.179004e-001
4.789931068868193e-005	4.179768e-001
4.790621724718456e-005	4.180352e-001
4.791236287636350e-005	4.180872e-001
4.791915815597877e-005	4.181447e-001
4.792559052224838e-005	4.181991e-001
4.793199824776415e-005	4.182533e-001
4.794094287027383e-005	4.183290e-001
4.795326849249787e-005	4.184333e-001
4.796570897802914e-005	4.185385e-001
4.797959365114893e-005	4.186560e-001
4.799294311906848e-005	4.187689e-001
4.801187311972966e-005	4.189291e-001
4.802985504099352e-005	4.190812e-001
4.805406402141714e-005	4.192860e-001
4.808359538311627e-005	4.195357e-001
4.811388579166790e-005	4.197919e-001
4.814432414660167e-005	4.200494e-001
4.816114139883179e-005	4.201916e-001
4.820180443620829e-005	4.205354e-001
4.822570930574049e-005	4.207376e-001
4.825326708930364e-005	4.209706e-001
4.827280969791660e-005	4.211358e-001
4.828326968955941e-005	4.212243e-001
4.830962129960341e-005	4.214470e-001
4.833351964074212e-005	4.216491e-001
4.836393848778905e-005	4.219062e-001
4.839236282493521e-005	4.221465e-001
4.842306044564732e-005	4.224060e-001
4.845510642515231e-005	4.226769e-001
4.850103395265325e-005	4.230650e-001
4.854133406980506e-005	4.234056e-001
4.858515010109634e-005	4.237758e-001
4.864732804985960e-005	4.243011e-001
4.877168394738611e-005	4.253516e-001
4.892306647677502e-005	4.266300e-001
4.906604230453635e-005	4.278372e-001
4.922927007622530e-005	4.292147e-001
4.992609077041402e-005	4.350903e-001
5.285466219898584e-005	4.597145e-001
5.578323362755766e-005	4.841626e-001
5.871180505612948e-005	5.084345e-001
6.164037648470130e-005	5.325303e-001
6.456894791327311e-005	5.564499e-001
6.749751934184493e-005	5.801934e-001
7.042609077041674e-005	6.037608e-001
7.328323362755998e-005	6.265544e-001
7.614037648470322e-005	6.491281e-001
7.899751934184645e-005	6.714820e-001
8.185466219898969e-005	6.936159e-001
8.471180505613293e-005	7.155300e-001
8.756894791327617e-005	7.372242e-001
9.042609077041940e-005	7.586985e-001
9.421180505613419e-005	7.867886e-001
9.799751934184898e-005	8.143954e-001
1.017832336275638e-004	8.415187e-001
1.055689479132786e-004	8.681588e-001
1.093546621989934e-004	8.943154e-001
1.131403764847081e-004	9.199887e-001
1.169260907704229e-004	9.451786e-001
1.174260907704230e-004	9.484609e-001
1.292118050561388e-004	1.023864e+000
1.409975193418547e-004	1.092814e+000
1.527832336275706e-004	1.155312e+000
1.645689479132864e-004	1.211359e+000
1.763546621990023e-004	1.260952e+000
1.881403764847181e-004	1.304094e+000
1.999260907704339e-004	1.340784e+000
2.094975193418638e-004	1.364685e+000
2.190689479132936e-004	1.383536e+000
2.286403764847235e-004	1.397336e+000
2.382118050561533e-004	1.406085e+000
2.477832336275832e-004	1.409784e+000
2.573546621990130e-004	1.408433e+000
2.669260907704428e-004	1.402030e+000
2.674260907704429e-004	1.401553e+000
2.787118050561587e-004	1.386714e+000
2.899975193418745e-004	1.365273e+000
3.012832336275903e-004	1.337229e+000
3.125689479133061e-004	1.302584e+000
3.238546621990219e-004	1.261336e+000
3.351403764847376e-004	1.213485e+000
3.464260907704534e-004	1.159033e+000
3.564975193418833e-004	1.105297e+000
3.665689479133132e-004	1.047758e+000
3.766403764847431e-004	9.864155e-001
3.867118050561730e-004	9.212690e-001
3.967832336276029e-004	8.523187e-001
4.068546621990329e-004	7.795647e-001
4.169260907704627e-004	7.030069e-001
4.174260907704628e-004	6.991637e-001
4.197118050561774e-004	6.814980e-001
4.219975193418920e-004	6.637010e-001
4.242832336276066e-004	6.457727e-001
4.265689479133212e-004	6.277131e-001
4.288546621990357e-004	6.095221e-001
4.311403764847503e-004	5.911999e-001
4.334260907704649e-004	5.727464e-001
4.357118050561795e-004	5.541744e-001
4.379975193418941e-004	5.354978e-001
4.402832336276087e-004	5.167166e-001
4.425689479133233e-004	4.978307e-001
4.448546621990379e-004	4.788403e-001
4.471403764847525e-004	4.597453e-001
4.494260907704671e-004	4.405456e-001
4.504260907704672e-004	4.321212e-001
4.509260907704673e-004	4.279026e-001
4.514260907704673e-004	4.236803e-001
4.516849518880876e-004	4.214927e-001
4.518648066798798e-004	4.199720e-001
4.520136615926483e-004	4.187130e-001
4.521568131490926e-004	4.175018e-001
4.523107382732739e-004	4.161991e-001
4.524631172406789e-004	4.149090e-001
4.526395200167394e-004	4.134151e-001
4.528588187766821e-004	4.115572e-001
4.531136978831115e-004	4.093969e-001
4.536233132686734e-004	4.050746e-001
4.538061112585310e-004	4.035233e-001
4.538958070814203e-004	4.027618e-001
