Freq.	V(n002)
1.00000000000000e-001	(5.07915857468538e+000dB,1.41894401964233e+002°)
1.03526492384138e-001	(5.63406563580921e+000dB,1.41208453141352e+002°)
1.07177346253629e-001	(6.18675352006212e+000dB,1.40483172082236e+002°)
1.10956947206785e-001	(6.73703136211832e+000dB,1.39718288942695e+002°)
1.14869835499704e-001	(7.28470231434509e+000dB,1.38913551960106e+002°)
1.18920711500272e-001	(7.82956334550894e+000dB,1.38068731294175e+002°)
1.23114441334492e-001	(8.37140508231056e+000dB,1.37183623159293e+002°)
1.27456062731926e-001	(8.91001169909629e+000dB,1.36258054239208e+002°)
1.31950791077289e-001	(9.44516086197002e+000dB,1.35291886366771e+002°)
1.36604025675440e-001	(9.97662373304909e+000dB,1.34285021449940e+002°)
1.41421356237310e-001	(1.05041650413028e+001dB,1.33237406618134e+002°)
1.46408569594563e-001	(1.10275432259126e+001dB,1.32149039557448e+002°)
1.51571656651040e-001	(1.15465106584183e+001dB,1.31019973996970e+002°)
1.56916819579350e-001	(1.20608139493283e+001dB,1.29850325302109e+002°)
1.62450479271247e-001	(1.25701943446223e+001dB,1.28640276123759e+002°)
1.68179283050743e-001	(1.30743882169928e+001dB,1.27390082044960e+002°)
1.74110112659225e-001	(1.35731276559046e+001dB,1.26100077159475e+002°)
1.80250092522166e-001	(1.40661411595755e+001dB,1.24770679510158e+002°)
1.86606598307362e-001	(1.45531544307692e+001dB,1.23402396309362e+002°)
1.93187265784969e-001	(1.50338912770627e+001dB,1.21995828856867e+002°)
2.00000000000000e-001	(1.55080746144823e+001dB,1.20551677066914e+002°)
2.07052984768276e-001	(1.59754275718244e+001dB,1.19070743513177e+002°)
2.14354692507259e-001	(1.64356746908994e+001dB,1.17553936897781e+002°)
2.21913894413569e-001	(1.68885432160129e+001dB,1.16002274851677e+002°)
2.29739670999407e-001	(1.73337644637637e+001dB,1.14416885975225e+002°)
2.37841423000545e-001	(1.77710752620631e+001dB,1.12799011032992e+002°)
2.46228882668984e-001	(1.82002194452214e+001dB,1.11150003223223e+002°)
2.54912125463853e-001	(1.86209493897697e+001dB,1.09471327452412e+002°)
2.63901582154579e-001	(1.90330275737858e+001dB,1.07764558556401e+002°)
2.73208051350880e-001	(1.94362281408901e+001dB,1.06031378425485e+002°)
2.82842712474620e-001	(1.98303384486014e+001dB,1.04273572005405e+002°)
2.92817139189126e-001	(2.02151605798088e+001dB,1.02493022165727e+002°)
3.03143313302080e-001	(2.05905127955025e+001dB,1.00691703446511e+002°)
3.13833639158701e-001	(2.09562309067520e+001dB,9.88716747150731e+001°)
3.24900958542495e-001	(2.13121695443982e+001dB,9.70350707853382e+001°)
3.36358566101487e-001	(2.16582033057758e+001dB,9.51840930737070e+001°)
3.48220225318451e-001	(2.19942277593247e+001dB,9.33209993857068e+001°)
3.60500185044333e-001	(2.23201602897332e+001dB,9.14480929452165e+001°)
3.73213196614724e-001	(2.26359407688808e+001dB,8.95677107971705e+001°)
3.86374531569939e-001	(2.29415320405318e+001dB,8.76822117253674e+001°)
4.00000000000001e-001	(2.32369202099629e+001dB,8.57939638413839e+001°)
4.14105969536552e-001	(2.35221147330961e+001dB,8.39053320056894e+001°)
4.28709385014519e-001	(2.37971483032718e+001dB,8.20186652474174e+001°)
4.43827788827140e-001	(2.40620765375119e+001dB,8.01362843480981e+001°)
4.59479341998816e-001	(2.43169774675802e+001dB,7.82604697517807e+001°)
4.75682846001090e-001	(2.45619508445640e+001dB,7.63934499560865e+001°)
4.92457765337968e-001	(2.47971172690405e+001dB,7.45373905267668e+001°)
5.09824250927707e-001	(2.50226171614282e+001dB,7.26943838663012e+001°)
5.27803164309160e-001	(2.52386095898283e+001dB,7.08664398481831e+001°)
5.46416102701760e-001	(2.54452709743786e+001dB,6.90554774113776e+001°)
5.65685424949240e-001	(2.56427936887304e+001dB,6.72633171884542e+001°)
5.85634278378253e-001	(2.58313845800962e+001dB,6.54916752203512e+001°)
6.06286626604162e-001	(2.60112634297655e+001dB,6.37421577894271e+001°)
6.27667278317403e-001	(2.61826613757432e+001dB,6.20162573817672e+001°)
6.49801917084991e-001	(2.63458193187914e+001dB,6.03153497701389e+001°)
6.72717132202974e-001	(2.65009863318996e+001dB,5.86406921904941e+001°)
6.96440450636902e-001	(2.66484180919647e+001dB,5.69934225688397e+001°)
7.21000370088667e-001	(2.67883753507558e+001dB,5.53745597408477e+001°)
7.46426393229449e-001	(2.69211224602857e+001dB,5.37850045947551e+001°)
7.72749063139880e-001	(2.70469259656769e+001dB,5.22255420589497e+001°)
8.00000000000004e-001	(2.71660532763894e+001dB,5.06968438484584e+001°)
8.28211939073106e-001	(2.72787714245939e+001dB,4.91994718801910e+001°)
8.57418770029038e-001	(2.73853459172233e+001dB,4.77338822649165e+001°)
8.87655577654280e-001	(2.74860396862394e+001dB,4.63004297834238e+001°)
9.18958683997632e-001	(2.75811121397300e+001dB,4.48993727563131e+001°)
9.51365692002181e-001	(2.76708183146537e+001dB,4.35308782203142e+001°)
9.84915530675938e-001	(2.77554081304873e+001dB,4.21950273286185e+001°)
1.01964850185541e+000	(2.78351257417106e+001dB,4.08918208981856e+001°)
1.05560632861832e+000	(2.79102089858206e+001dB,3.96211850336761e+001°)
1.09283220540352e+000	(2.79808889226557e+001dB,3.83829767646961e+001°)
1.13137084989848e+000	(2.80473894600367e+001dB,3.71769896397498e+001°)
1.17126855675651e+000	(2.81099270601986e+001dB,3.60029592280774e+001°)
1.21257325320832e+000	(2.81687105210445e+001dB,3.48605684872924e+001°)
1.25533455663481e+000	(2.82239408260383e+001dB,3.37494529619831e+001°)
1.29960383416998e+000	(2.82758110564900e+001dB,3.26692057845012e+001°)
1.34543426440595e+000	(2.83245063599316e+001dB,3.16193824557468e+001°)
1.39288090127381e+000	(2.83702039684474e+001dB,3.05995053890117e+001°)
1.44200074017734e+000	(2.84130732610910e+001dB,2.96090682048441e+001°)
1.49285278645890e+000	(2.84532758645902e+001dB,2.86475397698446e+001°)
1.54549812627976e+000	(2.84909657871243e+001dB,2.77143679756879e+001°)
1.60000000000001e+000	(2.85262895799930e+001dB,2.68089832586262e+001°)
1.65642387814621e+000	(2.85593865227373e+001dB,2.59308018617711e+001°)
1.71483754005808e+000	(2.85903888272395e+001dB,2.50792288459247e+001°)
1.77531115530856e+000	(2.86194218570590e+001dB,2.42536608557314e+001°)
1.83791736799527e+000	(2.86466043584581e+001dB,2.34534886500278e+001°)
1.90273138400437e+000	(2.86720486999634e+001dB,2.26780994062054e+001°)
1.96983106135188e+000	(2.86958611176859e+001dB,2.19268788094946e+001°)
2.03929700371083e+000	(2.87181419639832e+001dB,2.11992129383437e+001°)
2.11121265723664e+000	(2.87389859572278e+001dB,2.04944899579533e+001°)
2.18566441080705e+000	(2.87584824309581e+001dB,1.98121016334385e+001°)
2.26274169979697e+000	(2.87767155806992e+001dB,1.91514446749252e+001°)
2.34253711351302e+000	(2.87937647072351e+001dB,1.85119219259448e+001°)
