time	V(n002)-5.4261mV
0.000000000000000e+000	2.229576e-006
5.930000000028968e-006	1.054342e-002
1.193000000005839e-005	2.119407e-002
1.793000000008781e-005	3.181461e-002
2.393000000011723e-005	4.238993e-002
2.993000000014665e-005	5.290499e-002
3.593000000017606e-005	6.334488e-002
4.193000000020548e-005	7.369477e-002
4.793000000023490e-005	8.393989e-002
5.393000000026432e-005	9.406574e-002
5.993000000029374e-005	1.040579e-001
6.078428571458364e-005	1.054690e-001
6.163857142887355e-005	1.068770e-001
6.249285714316345e-005	1.082818e-001
6.334714285745335e-005	1.096834e-001
6.420142857174326e-005	1.110820e-001
6.505571428603316e-005	1.124774e-001
6.591000000032306e-005	1.138696e-001
6.593000000032316e-005	1.139022e-001
7.193000000035258e-005	1.235846e-001
7.793000000038200e-005	1.330914e-001
8.393000000041142e-005	1.424091e-001
8.993000000044084e-005	1.515244e-001
9.593000000047026e-005	1.604243e-001
1.019300000004997e-004	1.690963e-001
1.079300000005291e-004	1.775279e-001
1.139300000005585e-004	1.857073e-001
1.199300000005879e-004	1.936228e-001
1.259300000006174e-004	2.012632e-001
1.319300000006468e-004	2.086175e-001
1.379300000006762e-004	2.156753e-001
1.439300000007056e-004	2.224267e-001
1.499300000007350e-004	2.288620e-001
1.559300000007645e-004	2.349720e-001
1.619300000007939e-004	2.407481e-001
1.679300000008233e-004	2.461822e-001
1.739300000008527e-004	2.512663e-001
1.799300000008821e-004	2.559934e-001
1.859300000009116e-004	2.603567e-001
1.919300000009410e-004	2.643500e-001
1.979300000009704e-004	2.679677e-001
2.039300000009998e-004	2.712046e-001
2.099300000010292e-004	2.740561e-001
2.159300000010586e-004	2.765181e-001
2.219300000010881e-004	2.785871e-001
2.279300000011175e-004	2.802603e-001
2.339300000011469e-004	2.815352e-001
2.399300000011763e-004	2.824100e-001
2.459300000012057e-004	2.828834e-001
2.519300000012352e-004	2.829549e-001
2.579300000012646e-004	2.826243e-001
2.639300000012940e-004	2.818921e-001
2.699300000013234e-004	2.807593e-001
