Freq.	V(n001)/Ix(ampli:I)
1.00000000000000e-001	(9.09503165556207e+001dB,-7.37823668103664e+001°)
1.03526492384138e-001	(9.06737156301525e+001dB,-7.32427216661801e+001°)
1.07177346253629e-001	(9.03987128357891e+001dB,-7.26873240880755e+001°)
1.10956947206785e-001	(9.01254019926459e+001dB,-7.21159330885262e+001°)
1.14869835499704e-001	(8.98538810058453e+001dB,-7.15283262069136e+001°)
1.18920711500272e-001	(8.95842518556274e+001dB,-7.09243019613335e+001°)
1.23114441334492e-001	(8.93166205586163e+001dB,-7.03036824201811e+001°)
1.27456062731926e-001	(8.90510970968392e+001dB,-6.96663158825135e+001°)
1.31950791077289e-001	(8.87877953110559e+001dB,-6.90120796529065e+001°)
1.36604025675440e-001	(8.85268327549730e+001dB,-6.83408828929584e+001°)
1.41421356237310e-001	(8.82683305070143e+001dB,-6.76526695277765e+001°)
1.46408569594563e-001	(8.80124129364957e+001dB,-6.69474211817788e+001°)
1.51571656651040e-001	(8.77592074213313e+001dB,-6.62251601140124e+001°)
1.56916819579350e-001	(8.75088440147810e+001dB,-6.54859521190420e+001°)
1.62450479271247e-001	(8.72614550592518e+001dB,-6.47299093553925e+001°)
1.68179283050743e-001	(8.70171747457870e+001dB,-6.39571930596862e+001°)
1.74110112659225e-001	(8.67761386186295e+001dB,-6.31680161011399e+001°)
1.80250092522166e-001	(8.65384830251168e+001dB,-6.23626453281544e+001°)
1.86606598307362e-001	(8.63043445121609e+001dB,-6.15414036565055e+001°)
1.93187265784969e-001	(8.60738591716653e+001dB,-6.07046718473306e+001°)
2.00000000000000e-001	(8.58471619384199e+001dB,-5.98528899228556e+001°)
2.07052984768276e-001	(8.56243858452709e+001dB,-5.89865581688094e+001°)
2.14354692507259e-001	(8.54056612416468e+001dB,-5.81062376748560e+001°)
2.21913894413569e-001	(8.51911149828099e+001dB,-5.72125503682503e+001°)
2.29739670999407e-001	(8.49808695984368e+001dB,-5.63061785013756e+001°)
2.37841423000545e-001	(8.47750424502796e+001dB,-5.53878635607778e+001°)
2.46228882668984e-001	(8.45737448896638e+001dB,-5.44584045738845e+001°)
2.54912125463853e-001	(8.43770814263940e+001dB,-5.35186557994157e+001°)
2.63901582154579e-001	(8.41851489212193e+001dB,-5.25695237985937e+001°)
2.73208051350880e-001	(8.39980358143148e+001dB,-5.16119638962159e+001°)
2.82842712474620e-001	(8.38158214022315e+001dB,-5.06469760531828e+001°)
2.92817139189126e-001	(8.36385751754345e+001dB,-4.96756001848051e+001°)
3.03143313302080e-001	(8.34663562278762e+001dB,-4.86989109716564e+001°)
3.13833639158701e-001	(8.32992127490431e+001dB,-4.77180122215432e+001°)
3.24900958542495e-001	(8.31371816075958e+001dB,-4.67340308517951e+001°)
3.36358566101487e-001	(8.29802880341177e+001dB,-4.57481105702055e+001°)
3.48220225318451e-001	(8.28285454086537e+001dB,-4.47614053401845e+001°)
3.60500185044333e-001	(8.26819551567143e+001dB,-4.37750727207412e+001°)
3.73213196614724e-001	(8.25405067553009e+001dB,-4.27902671746588e+001°)
3.86374531569939e-001	(8.24041778483655e+001dB,-4.18081334383314e+001°)
4.00000000000001e-001	(8.22729344689894e+001dB,-4.08298000448360e+001°)
4.14105969536552e-001	(8.21467313635858e+001dB,-3.98563730869633e+001°)
4.28709385014519e-001	(8.20255124115704e+001dB,-3.88889303006327e+001°)
4.43827788827140e-001	(8.19092111323561e+001dB,-3.79285155404288e+001°)
4.59479341998816e-001	(8.17977512701734e+001dB,-3.69761337093722e+001°)
4.75682846001090e-001	(8.16910474461830e+001dB,-3.60327461938606e+001°)
4.92457765337968e-001	(8.15890058666086e+001dB,-3.50992668431953e+001°)
5.09824250927707e-001	(8.14915250752007e+001dB,-3.41765585212415e+001°)
5.27803164309160e-001	(8.13984967382335e+001dB,-3.32654302459164e+001°)
5.46416102701760e-001	(8.13098064503943e+001dB,-3.23666349210448e+001°)
5.65685424949240e-001	(8.12253345503559e+001dB,-3.14808676545063e+001°)
5.85634278378253e-001	(8.11449569354632e+001dB,-3.06087646469728e+001°)
6.06286626604162e-001	(8.10685458657714e+001dB,-2.97509026274213e+001°)
6.27667278317403e-001	(8.09959707486434e+001dB,-2.89077988042573e+001°)
6.49801917084991e-001	(8.09270988961595e+001dB,-2.80799112952214e+001°)
6.72717132202974e-001	(8.08617962487056e+001dB,-2.72676399948971e+001°)
6.96440450636902e-001	(8.07999280592222e+001dB,-2.64713278354964e+001°)
7.21000370088667e-001	(8.07413595337592e+001dB,-2.56912623945495e+001°)
7.46426393229449e-001	(8.06859564250215e+001dB,-2.49276778026305e+001°)
7.72749063139880e-001	(8.06335855766431e+001dB,-2.41807569043166e+001°)
8.00000000000004e-001	(8.05841154168881e+001dB,-2.34506336265981e+001°)
8.28211939073106e-001	(8.05374164013194e+001dB,-2.27373955109778e+001°)
8.57418770029038e-001	(8.04933614047577e+001dB,-2.20410863678002e+001°)
8.87655577654280e-001	(8.04518260635262e+001dB,-2.13617090140971e+001°)
9.18958683997632e-001	(8.04126890695227e+001dB,-2.06992280597398e+001°)
9.51365692002181e-001	(8.03758324181699e+001dB,-2.00535727096129e+001°)
9.84915530675938e-001	(8.03411416125968e+001dB,-1.94246395536246e+001°)
1.01964850185541e+000	(8.03085058267821e+001dB,-1.88122953192313e+001°)
1.05560632861832e+000	(8.02778180304733e+001dB,-1.82163795653129e+001°)
