Freq.	V(n001)/1A
1.00000000000000e-001	(-5.19103727297599e+001dB,6.16896025594902e+001°)
1.03526492384138e-001	(-5.16454083991561e+001dB,6.17444677795317e+001°)
1.07177346253629e-001	(-5.13802424995814e+001dB,6.17706673590054e+001°)
1.10956947206785e-001	(-5.11150176840908e+001dB,6.17681904801488e+001°)
1.14869835499704e-001	(-5.08498765129848e+001dB,6.17370381802068e+001°)
1.18920711500272e-001	(-5.05849616781788e+001dB,6.16772233742916e+001°)
1.23114441334492e-001	(-5.03204162251977e+001dB,6.15887711433406e+001°)
1.27456062731926e-001	(-5.00563837687445e+001dB,6.14717192848476e+001°)
1.31950791077289e-001	(-4.97930086977498e+001dB,6.13261191233631e+001°)
1.36604025675440e-001	(-4.95304363658166e+001dB,6.11520365750596e+001°)
1.41421356237310e-001	(-4.92688132629018e+001dB,6.09495534593768e+001°)
1.46408569594563e-001	(-4.90082871640851e+001dB,6.07187690481943e+001°)
1.51571656651040e-001	(-4.87490072511847e+001dB,6.04598018407765e+001°)
1.56916819579350e-001	(-4.84911242030753e+001dB,6.01727915500682e+001°)
1.62450479271247e-001	(-4.82347902504511e+001dB,5.98579012829193e+001°)
1.68179283050743e-001	(-4.79801591909621e+001dB,5.95153198938006e+001°)
1.74110112659225e-001	(-4.77273863606506e+001dB,5.91452644878742e+001°)
1.80250092522166e-001	(-4.74766285578552e+001dB,5.87479830457169e+001°)
1.86606598307362e-001	(-4.72280439159893e+001dB,5.83237571380881e+001°)
1.93187265784969e-001	(-4.69817917219019e+001dB,5.78729046949475e+001°)
2.00000000000000e-001	(-4.67380321770320e+001dB,5.73957827889438e+001°)
2.07052984768276e-001	(-4.64969260990278e+001dB,5.68927903895490e+001°)
2.14354692507259e-001	(-4.62586345623482e+001dB,5.63643710399601e+001°)
2.21913894413569e-001	(-4.60233184769467e+001dB,5.58110154058280e+001°)
2.29739670999407e-001	(-4.57911381052952e+001dB,5.52332636412673e+001°)
2.37841423000545e-001	(-4.55622525188760e+001dB,5.46317075158964e+001°)
2.46228882668984e-001	(-4.53368189966616e+001dB,5.40069922449570e+001°)
2.54912125463853e-001	(-4.51149923689169e+001dB,5.33598179642653e+001°)
2.63901582154579e-001	(-4.48969243119810e+001dB,5.26909407930000e+001°)
2.73208051350880e-001	(-4.46827625996355e+001dB,5.20011734294300e+001°)
2.82842712474620e-001	(-4.44726503194074e+001dB,5.12913852289420e+001°)
2.92817139189126e-001	(-4.42667250627703e+001dB,5.05625017193584e+001°)
3.03143313302080e-001	(-4.40651180996713e+001dB,4.98155035157719e+001°)
3.13833639158701e-001	(-4.38679535490132e+001dB,4.90514246064351e+001°)
3.24900958542495e-001	(-4.36753475572774e+001dB,4.82713499914200e+001°)
3.36358566101487e-001	(-4.34874074991510e+001dB,4.74764126681526e+001°)
3.48220225318451e-001	(-4.33042312128597e+001dB,4.66677899705031e+001°)
3.60500185044333e-001	(-4.31259062845493e+001dB,4.58466992821709e+001°)
3.73213196614724e-001	(-4.29525093947524e+001dB,4.50143931590062e+001°)
3.86374531569939e-001	(-4.27841057396981e+001dB,4.41721539088704e+001°)
4.00000000000001e-001	(-4.26207485392095e+001dB,4.33212876909973e+001°)
4.14105969536552e-001	(-4.24624786412650e+001dB,4.24631182088743e+001°)
4.28709385014519e-001	(-4.23093242319904e+001dB,4.15989800813781e+001°)
4.43827788827140e-001	(-4.21613006571742e+001dB,4.07302119852714e+001°)
4.59479341998816e-001	(-4.20184103603366e+001dB,3.98581496686509e+001°)
4.75682846001090e-001	(-4.18806429383833e+001dB,3.89841189380613e+001°)
4.92457765337968e-001	(-4.17479753149555e+001dB,3.81094287230359e+001°)
5.09824250927707e-001	(-4.16203720283664e+001dB,3.72353643197613e+001°)
5.27803164309160e-001	(-4.14977856287610e+001dB,3.63631809105429e+001°)
5.46416102701760e-001	(-4.13801571774799e+001dB,3.54940974487223e+001°)
5.65685424949240e-001	(-4.12674168388942e+001dB,3.46292909888937e+001°)
5.85634278378253e-001	(-4.11594845545193e+001dB,3.37698915312725e+001°)
6.06286626604162e-001	(-4.10562707867867e+001dB,3.29169774359967e+001°)
6.27667278317403e-001	(-4.09576773200730e+001dB,3.20715714499396e+001°)
6.49801917084991e-001	(-4.08635981051945e+001dB,3.12346373744037e+001°)
6.72717132202974e-001	(-4.07739201345520e+001dB,3.04070773884975e+001°)
6.96440450636902e-001	(-4.06885243338025e+001dB,2.95897300293812e+001°)
7.21000370088667e-001	(-4.06072864582901e+001dB,2.87833688186335e+001°)
7.46426393229449e-001	(-4.05300779818178e+001dB,2.79887015124829e+001°)
7.72749063139880e-001	(-4.04567669671216e+001dB,2.72063699442531e+001°)
8.00000000000004e-001	(-4.03872189083009e+001dB,2.64369504192335e+001°)
8.28211939073106e-001	(-4.03212975373639e+001dB,2.56809546159819e+001°)
8.57418770029038e-001	(-4.02588655872285e+001dB,2.49388309431904e+001°)
8.87655577654280e-001	(-4.01997855064529e+001dB,2.42109662986444e+001°)
9.18958683997632e-001	(-4.01439201206470e+001dB,2.34976881748763e+001°)
9.51365692002181e-001	(-4.00911332385325e+001dB,2.27992670565181e+001°)
9.84915530675938e-001	(-4.00412902004640e+001dB,2.21159190550761e+001°)
1.01964850185541e+000	(-3.99942583686372e+001dB,2.14478087291954e+001°)
1.05560632861832e+000	(-3.99499075601484e+001dB,2.07950520414229e+001°)
1.09283220540352e+000	(-3.99081104233238e+001dB,2.01577194059254e+001°)
1.13137084989848e+000	(-3.98687427595020e+001dB,1.95358387857070e+001°)
1.17126855675651e+000	(-3.98316837930254e+001dB,1.89293988021499e+001°)
1.21257325320832e+000	(-3.97968163917939e+001dB,1.83383518239968e+001°)
1.25533455663481e+000	(-3.97640272422039e+001dB,1.77626170074306e+001°)
1.29960383416998e+000	(-3.97332069816422e+001dB,1.72020832631028e+001°)
1.34543426440595e+000	(-3.97042502919956e+001dB,1.66566121300015e+001°)
1.39288090127381e+000	(-3.96770559581286e+001dB,1.61260405401037e+001°)
1.44200074017734e+000	(-3.96515268947001e+001dB,1.56101834610496e+001°)
1.49285278645890e+000	(-3.96275701448290e+001dB,1.51088364075315e+001°)
1.54549812627976e+000	(-3.96050968541510e+001dB,1.46217778148341e+001°)
1.60000000000001e+000	(-3.95840222234228e+001dB,1.41487712705917e+001°)
1.65642387814621e+000	(-3.95642654423892e+001dB,1.36895676029798e+001°)
1.71483754005808e+000	(-3.95457496085501e+001dB,1.32439068255879e+001°)
1.77531115530856e+000	(-3.95284016322329e+001dB,1.28115199406047e+001°)
1.83791736799527e+000	(-3.95121521314906e+001dB,1.23921306035018e+001°)
1.90273138400437e+000	(-3.94969353184415e+001dB,1.19854566533104e+001°)
1.96983106135188e+000	(-3.94826888788765e+001dB,1.15912115134310e+001°)
2.03929700371083e+000	(-3.94693538471828e+001dB,1.12091054686526e+001°)
2.11121265723664e+000	(-3.94568744780011e+001dB,1.08388468243875e+001°)
2.18566441080705e+000	(-3.94451981158926e+001dB,1.04801429545269e+001°)
2.26274169979697e+000	(-3.94342750643496e+001dB,1.01327012444307e+001°)
2.34253711351302e+000	(-3.94240584548343e+001dB,9.79622993564272e+000°)
2.42514650641665e+000	(-3.94145041172523e+001dB,9.47043887892804e+000°)
2.51066911326962e+000	(-3.94055704519660e+001dB,9.15504020205647e+000°)
2.59920766833997e+000	(-3.93972183045823e+001dB,8.84974889865691e+000°)
2.69086852881191e+000	(-3.93894108433256e+001dB,8.55428334419274e+000°)
2.78576180254762e+000	(-3.93821134400601e+001dB,8.26836574492314e+000°)
2.88400148035468e+000	(-3.93752935548408e+001dB,7.99172252539684e+000°)
2.98570557291781e+000	(-3.93689206243789e+001dB,7.72408465975959e+000°)
3.09099625255953e+000	(-3.93629659546878e+001dB,7.46518795184872e+000°)
3.20000000000002e+000	(-3.93574026177266e+001dB,7.21477326874420e+000°)
3.31284775629243e+000	(-3.93522053526093e+001dB,6.97258673216452e+000°)
3.42967508011616e+000	(-3.93473504706291e+001dB,6.73837987173788e+000°)
3.55062231061713e+000	(-3.93428157650397e+001dB,6.51190974399568e+000°)
3.67583473599054e+000	(-3.93385804249313e+001dB,6.29293902053443e+000°)
3.80546276800874e+000	(-3.93346249530198e+001dB,6.08123604859993e+000°)
3.93966212270376e+000	(-3.93309310878204e+001dB,5.87657488707034e+000°)
4.07859400742167e+000	(-3.93274817297168e+001dB,5.67873532057146e+000°)
