time	V(realim)
0.000000000000000e+000	-1.793145e-002
8.789062499996864e-007	6.020457e-002
2.250770890871619e-006	1.821539e-001
3.180723848788397e-006	2.648094e-001
4.179625956457662e-006	3.535765e-001
5.416377487006338e-006	4.634532e-001
6.910988477413366e-006	5.961805e-001
9.449949835801941e-006	8.214610e-001
1.331602289585034e-005	1.164110e+000
1.552159038231346e-005	1.359273e+000
1.886591950684205e-005	1.654655e+000
2.149811844678363e-005	1.886739e+000
2.310345237145108e-005	2.028016e+000
2.497430578282493e-005	2.192375e+000
2.661908899397394e-005	2.336626e+000
2.845275491144498e-005	2.497151e+000
2.994756668098404e-005	2.627771e+000
3.145558166577252e-005	2.759300e+000
3.281312555464527e-005	2.877494e+000
3.412368425062540e-005	2.991398e+000
3.521164467022719e-005	3.085803e+000
3.615389380495597e-005	3.167446e+000
3.690496605436751e-005	3.232444e+000
3.752367001805864e-005	3.285930e+000
3.803675512513514e-005	3.330246e+000
3.847918225531252e-005	3.368430e+000
3.888429154370789e-005	3.403370e+000
3.929471648345898e-005	3.438744e+000
3.969203020055215e-005	3.472966e+000
4.012847050952322e-005	3.510532e+000
4.061378454226459e-005	3.552272e+000
4.119525394084226e-005	3.602236e+000
4.193901859678856e-005	3.666069e+000
4.292380323607341e-005	3.750451e+000
4.434858497500468e-005	3.872257e+000
4.633074897212198e-005	4.041099e+000
4.977273439828959e-005	4.332736e+000
5.377973829702020e-005	4.669090e+000
6.179374609448143e-005	5.332714e+000
6.948855835672667e-005	5.957963e+000
7.827762085672700e-005	6.654589e+000
8.706668335672733e-005	7.331268e+000
9.585574585672767e-005	7.987541e+000
1.016036184856945e-004	8.404612e+000
1.054508127284887e-004	8.676797e+000
1.091689027406069e-004	8.934772e+000
1.118158342213920e-004	9.115600e+000
1.137318782474528e-004	9.244725e+000
1.157175044680138e-004	9.377059e+000
1.173121463441179e-004	9.482274e+000
1.189624539705359e-004	9.590090e+000
1.206358364626336e-004	9.698291e+000
1.227435787581306e-004	9.833218e+000
1.239760112135800e-004	9.911336e+000
1.252959330214293e-004	9.994310e+000
1.258826729029407e-004	1.003099e+001
1.262706309575999e-004	1.005513e+001
1.265068718440164e-004	1.006978e+001
1.267873599155884e-004	1.008714e+001
1.270036985525401e-004	1.010050e+001
1.272425821599050e-004	1.011523e+001
1.275058953205633e-004	1.013143e+001
1.279859553609186e-004	1.016088e+001
1.285414620336572e-004	1.019485e+001
1.291964572213882e-004	1.023476e+001
1.299752940475980e-004	1.028200e+001
1.307653947457748e-004	1.032969e+001
1.316627002414597e-004	1.038346e+001
1.334573112328286e-004	1.048991e+001
1.359372434063238e-004	1.063533e+001
1.372727478153426e-004	1.071274e+001
1.380738938440698e-004	1.075876e+001
1.385290669591865e-004	1.078475e+001
1.388073432766904e-004	1.080060e+001
1.390703654551130e-004	1.081554e+001
1.392880523509964e-004	1.082788e+001
1.394175377038356e-004	1.083521e+001
1.395362189459291e-004	1.084192e+001
1.396600664785880e-004	1.084891e+001
1.398307033797178e-004	1.085853e+001
1.400623366466201e-004	1.087156e+001
1.403155013289109e-004	1.088577e+001
1.405762340004170e-004	1.090035e+001
1.408399247684955e-004	1.091503e+001
1.411170174729507e-004	1.093039e+001
1.414079523856700e-004	1.094642e+001
1.417283056283905e-004	1.096396e+001
1.420888878272530e-004	1.098357e+001
1.425230279354563e-004	1.100706e+001
1.429539767256296e-004	1.103025e+001
1.434129333557476e-004	1.105486e+001
1.440889797467938e-004	1.109102e+001
1.444971939414631e-004	1.111288e+001
1.447715923918128e-004	1.112758e+001
1.449287699083956e-004	1.113599e+001
1.450428068813072e-004	1.114208e+001
1.451334364402611e-004	1.114692e+001
1.453297570721745e-004	1.115744e+001
1.454926262214502e-004	1.116619e+001
1.457027743537740e-004	1.117752e+001
1.461230706184214e-004	1.120026e+001
1.462921038913496e-004	1.120946e+001
1.463975098769388e-004	1.121521e+001
1.465052717343866e-004	1.122109e+001
1.465714078014817e-004	1.122469e+001
1.466512414723294e-004	1.122904e+001
1.468082194161155e-004	1.123760e+001
1.469719441092258e-004	1.124651e+001
1.472300098480841e-004	1.126052e+001
1.475073776990134e-004	1.127549e+001
1.477051873954687e-004	1.128608e+001
1.478104385336529e-004	1.129167e+001
1.478942841759085e-004	1.129611e+001
1.480207452335030e-004	1.130281e+001
1.481404063403821e-004	1.130916e+001
1.482383922711359e-004	1.131437e+001
1.483425361200053e-004	1.131989e+001
1.485015847454809e-004	1.132831e+001
1.486298685336104e-004	1.133508e+001
1.487239160754272e-004	1.134003e+001
1.488544617183323e-004	1.134690e+001
1.489874765970818e-004	1.135390e+001
1.491192611875131e-004	1.136083e+001
1.492792484131377e-004	1.136923e+001
1.495405892626110e-004	1.138291e+001
1.498562330281361e-004	1.139941e+001
1.501994536913624e-004	1.141729e+001
1.505518327866154e-004	1.143560e+001
1.508802251626472e-004	1.145261e+001
1.513421565980102e-004	1.147645e+001
1.518735003819905e-004	1.150376e+001
1.524242675412504e-004	1.153193e+001
1.530121529279968e-004	1.156186e+001
1.535722169757310e-004	1.159022e+001
1.541566047061366e-004	1.161965e+001
1.547779804791996e-004	1.165077e+001
1.554775695656371e-004	1.168559e+001
