time	V(realim)
0.000000000000000e+000	-1.660210e-002
8.789062499996864e-007	6.159882e-002
2.636718749999926e-006	2.179878e-001
7.150195178651925e-006	6.193243e-001
1.180527063125540e-005	1.032416e+000
2.015741543442105e-005	1.770918e+000
2.894647793442139e-005	2.542970e+000
3.773554043442172e-005	3.307296e+000
4.652460293442205e-005	4.061505e+000
5.531366543442239e-005	4.803298e+000
6.410272793442272e-005	5.530412e+000
7.289179043442305e-005	6.240632e+000
8.168085293442338e-005	6.931792e+000
9.046991543442372e-005	7.601783e+000
9.925897793442405e-005	8.248565e+000
1.080480404344244e-004	8.870164e+000
1.168371029344247e-004	9.464685e+000
1.256261654344251e-004	1.003032e+001
1.344152279344254e-004	1.056956e+001
1.386370557035690e-004	1.081804e+001
1.412298557888084e-004	1.096604e+001
1.424499951267434e-004	1.103452e+001
1.432022753976043e-004	1.107631e+001
1.436502404313002e-004	1.110103e+001
1.441030829631932e-004	1.112591e+001
1.445869233020697e-004	1.115238e+001
1.451323944203871e-004	1.118208e+001
1.458624956723938e-004	1.122160e+001
1.470753159412541e-004	1.128672e+001
1.485772367778755e-004	1.136656e+001
1.501083172766784e-004	1.144683e+001
1.523958209692384e-004	1.156448e+001
1.558745313783869e-004	1.173991e+001
1.574123429321540e-004	1.181599e+001
1.583781002789404e-004	1.186304e+001
1.589021475328321e-004	1.188836e+001
1.593200719690107e-004	1.190844e+001
1.597027643190693e-004	1.192675e+001
1.600657181540068e-004	1.194405e+001
1.604536023359689e-004	1.196246e+001
1.608128292469972e-004	1.197944e+001
1.611809173671791e-004	1.199677e+001
1.615557441267991e-004	1.201434e+001
1.619713813631966e-004	1.203374e+001
1.624495813405350e-004	1.205597e+001
1.631578398612957e-004	1.208879e+001
1.637306551084492e-004	1.211522e+001
1.643019378121061e-004	1.214142e+001
1.649262270394386e-004	1.216985e+001
1.657333608214772e-004	1.220633e+001
1.662088993643245e-004	1.222769e+001
1.667803873525121e-004	1.225317e+001
1.674237426351607e-004	1.228168e+001
1.681083910015377e-004	1.231180e+001
1.687702124551944e-004	1.234069e+001
1.694761248423942e-004	1.237128e+001
1.702281473426603e-004	1.240359e+001
1.710160301312651e-004	1.243714e+001
1.718490663824308e-004	1.247229e+001
1.727380540480356e-004	1.250941e+001
1.737008666461929e-004	1.254917e+001
1.747667930725554e-004	1.259264e+001
1.759737151821117e-004	1.264117e+001
1.773786811275473e-004	1.269672e+001
1.790614806511538e-004	1.276190e+001
1.837806011535381e-004	1.293665e+001
1.874978887111594e-004	1.306535e+001
1.934023112175470e-004	1.325362e+001
2.021913737175474e-004	1.350237e+001
2.109804362175477e-004	1.371323e+001
2.197694987175480e-004	1.388224e+001
2.285585612175484e-004	1.400888e+001
2.373476237175487e-004	1.409277e+001
2.461366862175490e-004	1.413366e+001
2.549257487175494e-004	1.413141e+001
2.637148112175497e-004	1.408604e+001
2.725038737175500e-004	1.399768e+001
2.812929362175504e-004	1.386660e+001
2.900819987175507e-004	1.369321e+001
2.988710612175510e-004	1.347803e+001
3.076601237175514e-004	1.322172e+001
3.164491862175517e-004	1.292505e+001
3.252382487175520e-004	1.259240e+001
3.308456684078349e-004	1.236190e+001
3.336062447024642e-004	1.224218e+001
3.349371257744599e-004	1.218281e+001
3.358929712498748e-004	1.213952e+001
3.369223004640685e-004	1.209245e+001
3.373866922861003e-004	1.207103e+001
3.377477550883957e-004	1.205427e+001
3.381932411588608e-004	1.203350e+001
3.386849925415764e-004	1.201049e+001
3.389977847271580e-004	1.199580e+001
3.392322611392960e-004	1.198475e+001
3.395494624837707e-004	1.196976e+001
3.397814727184520e-004	1.195877e+001
3.400375738643194e-004	1.194660e+001
3.402866845614062e-004	1.193474e+001
3.405500686965825e-004	1.192217e+001
3.408370855808914e-004	1.190843e+001
3.411236626334148e-004	1.189467e+001
3.414449896400763e-004	1.187920e+001
3.417945251603773e-004	1.186231e+001
3.421939464673630e-004	1.184294e+001
3.426613289608900e-004	1.182018e+001
3.432237176835386e-004	1.179265e+001
3.439360985754191e-004	1.175756e+001
3.448746561016966e-004	1.171094e+001
3.462218416466498e-004	1.164323e+001
3.483430376902269e-004	1.153463e+001
