Freq.	V(realim)
1.00000000000000e-001	(5.27898958396643e+000dB,1.41607049414902e+002°)
1.25892541179417e-001	(8.91193985691388e+000dB,1.36225721179713e+002°)
1.58489319246111e-001	(1.23916239884614e+001dB,1.29055861294396e+002°)
1.99526231496888e-001	(1.56461261436063e+001dB,1.20118587640467e+002°)
2.51188643150958e-001	(1.85960776315723e+001dB,1.09582258710334e+002°)
3.16227766016838e-001	(2.11666456556039e+001dB,9.78144432451364e+001°)
3.98107170553497e-001	(2.33052771581187e+001dB,8.53774259225337e+001°)
5.01187233627272e-001	(2.49975242568355e+001dB,7.29419785611259e+001°)
6.30957344480193e-001	(2.62715855695109e+001dB,6.11453103589825e+001°)
7.94328234724282e-001	(2.71884685917032e+001dB,5.04625681463444e+001°)
1.00000000000000e+000	(2.78239146313927e+001dB,4.11501072940746e+001°)
1.25892541179417e+000	(2.82516359580117e+001dB,3.32657009112892e+001°)
1.58489319246111e+000	(2.85334643200781e+001dB,2.67300546123802e+001°)
1.99526231496888e+000	(2.87164230901080e+001dB,2.13913561821027e+001°)
2.51188643150958e+000	(2.88340124338971e+001dB,1.70732045551271e+001°)
3.16227766016838e+000	(2.89090904832904e+001dB,1.36030999422537e+001°)
3.98107170553498e+000	(2.89568209234160e+001dB,1.08261922103621e+001°)
5.01187233627273e+000	(2.89870817804596e+001dB,8.60998991922342e+000°)
6.30957344480194e+000	(2.90062332978759e+001dB,6.84430904779076e+000°)
7.94328234724282e+000	(2.90183403850824e+001dB,5.43908835730858e+000°)
1.00000000000000e+001	(2.90259887465181e+001dB,4.32149608467399e+000°)
1.25892541179417e+001	(2.90308182488977e+001dB,3.43302350223478e+000°)
1.58489319246112e+001	(2.90338669387852e+001dB,2.72686226503392e+000°)
1.99526231496888e+001	(2.90357911215830e+001dB,2.16566075403985e+000°)
2.51188643150958e+001	(2.90370054334750e+001dB,1.71966039515064e+000°)
3.16227766016838e+001	(2.90377717056242e+001dB,1.36517396182926e+000°)
3.98107170553498e+001	(2.90382552272989e+001dB,1.08335580722259e+000°)
5.01187233627273e+001	(2.90385603227203e+001dB,8.59214153272451e-001°)
6.30957344480194e+001	(2.90387528293086e+001dB,6.80820693099622e-001°)
7.94328234724283e+001	(2.90388742927009e+001dB,5.38679361174311e-001°)
1.00000000000000e+002	(2.90389509280687e+001dB,4.25222636557958e-001°)
1.25892541179417e+002	(2.90389992760771e+001dB,3.34409549076080e-001°)
1.58489319246112e+002	(2.90390297722323e+001dB,2.61404479027329e-001°)
1.99526231496888e+002	(2.90390489989705e+001dB,2.02319895153692e-001°)
2.51188643150958e+002	(2.90390611063079e+001dB,1.54009455978670e-001°)
3.16227766016839e+002	(2.90390687076612e+001dB,1.13900519220257e-001°)
3.98107170553498e+002	(2.90390734437508e+001dB,7.98571713333253e-002°)
5.01187233627273e+002	(2.90390763370053e+001dB,5.00664989279676e-002°)
6.30957344480194e+002	(2.90390780122450e+001dB,2.29420537250289e-002°)
7.94328234724283e+002	(2.90390788316787e+001dB,-2.96062548709434e-003°)
1.00000000000000e+003	(2.90390789734461e+001dB,-2.90209303846885e-002°)
1.25892541179417e+003	(2.90390784710848e+001dB,-5.66266351779997e-002°)
1.58489319246112e+003	(2.90390772216833e+001dB,-8.72477949698877e-002°)
1.99526231496888e+003	(2.90390749651448e+001dB,-1.22515026232618e-001°)
2.51188643150959e+003	(2.90390712286254e+001dB,-1.64306335476877e-001°)
3.16227766016839e+003	(2.90390652237666e+001dB,-2.14847107962878e-001°)
3.98107170553498e+003	(2.90390556751848e+001dB,-2.76828555108195e-001°)
5.01187233627273e+003	(2.90390405448730e+001dB,-3.53550889593677e-001°)
6.30957344480195e+003	(2.90390165989800e+001dB,-4.49098792829839e-001°)
7.94328234724283e+003	(2.90389787294905e+001dB,-5.68558405235605e-001°)
1.00000000000000e+004	(2.90389189013410e+001dB,-7.18287171726047e-001°)
1.25892541179417e+004	(2.90388245352520e+001dB,-9.06250509287041e-001°)
1.58489319246112e+004	(2.90386760680229e+001dB,-1.14244257121242e+000°)
1.99526231496889e+004	(2.90384433580115e+001dB,-1.43941262853296e+000°)
2.51188643150959e+004	(2.90380805342613e+001dB,-1.81292437925123e+000°)
