Freq.	V(ampli:n003)	V(ampli:n010)
1.00000000000000e-001	(2.18307810731398e+000dB,-6.39242797054451e+001°)	(4.10798058244061e+000dB,-6.39205595871778e+001°)
1.03526492384138e-001	(2.55031460451444e+000dB,-6.48341057440252e+001°)	(4.47521708545058e+000dB,-6.48304798522143e+001°)
1.07177346253629e-001	(2.91397968668938e+000dB,-6.57308544820150e+001°)	(4.83888217309702e+000dB,-6.57273184611304e+001°)
1.10956947206785e-001	(3.27420959095656e+000dB,-6.66143115588062e+001°)	(5.19911208252328e+000dB,-6.66108611612840e+001°)
1.14869835499704e-001	(3.63113996196430e+000dB,-6.74843233137093e+001°)	(5.55604245840190e+000dB,-6.74809543948488e+001°)
1.18920711500272e-001	(3.98490523062679e+000dB,-6.83407946185344e+001°)	(5.90980773166961e+000dB,-6.83375031315209e+001°)
1.23114441334492e-001	(4.33563804865420e+000dB,-6.91836864648690e+001°)	(6.26054055405775e+000dB,-6.91804684559133e+001°)
1.27456062731926e-001	(4.68346877960499e+000dB,-7.00130133585124e+001°)	(6.60837128914489e+000dB,-7.00098649621017e+001°)
1.31950791077289e-001	(5.02852504623455e+000dB,-7.08288405709540e+001°)	(6.95342755970503e+000dB,-7.08257580052097e+001°)
1.36604025675440e-001	(5.37093133285697e+000dB,-7.16312812928827e+001°)	(7.29583385006998e+000dB,-7.16282608550182e+001°)
1.41421356237310e-001	(5.71080864097522e+000dB,-7.24204937325755e+001°)	(7.63571116175920e+000dB,-7.24175317944494e+001°)
1.46408569594563e-001	(6.04827419561637e+000dB,-7.31966781961527e+001°)	(7.97317671981548e+000dB,-7.31937711999111e+001°)
1.51571656651040e-001	(6.38344119952484e+000dB,-7.39600741835327e+001°)	(8.30834372699763e+000dB,-7.39572186373368e+001°)
1.56916819579350e-001	(6.71641863183365e+000dB,-7.47109575281682e+001°)	(8.64132116245247e+000dB,-7.47081500020006e+001°)
1.62450479271247e-001	(7.04731108778981e+000dB,-7.54496376056550e+001°)	(8.97221362144017e+000dB,-7.54468747272005e+001°)
1.68179283050743e-001	(7.37621865590718e+000dB,-7.61764546317020e+001°)	(9.30112119248631e+000dB,-7.61737330822979e+001°)
1.74110112659225e-001	(7.70323682863979e+000dB,-7.68917770644549e+001°)	(9.62813936805647e+000dB,-7.68890935751056e+001°)
1.80250092522166e-001	(8.02845644310603e+000dB,-7.75959991254969e+001°)	(9.95335898528018e+000dB,-7.75933504729476e+001°)
1.86606598307362e-001	(8.35196364825555e+000dB,-7.82895384490088e+001°)	(1.02768661931157e+001dB,-7.82869214518760e+001°)
1.93187265784969e-001	(8.67383989448061e+000dB,-7.89728338620930e+001°)	(1.05987424419652e+001dB,-7.89702453770426e+001°)
2.00000000000000e-001	(8.99416194308826e+000dB,-7.96463433052640e+001°)	(1.09190644931443e+001dB,-7.96437802232374e+001°)
2.07052984768276e-001	(9.31300189183700e+000dB,-8.03105418901392e+001°)	(1.12379044444193e+001dB,-8.03080011326194e+001°)
2.14354692507259e-001	(9.63042721386625e+000dB,-8.09659200956985e+001°)	(1.15553297689367e+001dB,-8.09633986110123e+001°)
2.21913894413569e-001	(9.94650080709189e+000dB,-8.16129820995512e+001°)	(1.18714033646193e+001dB,-8.16104768592055e+001°)
2.29739670999407e-001	(1.02612810517338e+001dB,-8.22522442416846e+001°)	(1.21861836116927e+001dB,-8.22497522367282e+001°)
2.37841423000545e-001	(1.05748218733779e+001dB,-8.28842336137602e+001°)	(1.24997244357483e+001dB,-8.28817518511703e+001°)
