Freq.	V(n001)/1A
1.00000000000000e-001	(-6.00555342515034e+001dB,-1.13772720889707e+002°)
1.03526492384138e-001	(-5.97804070259917e+001dB,-1.13853937526873e+002°)
1.07177346253629e-001	(-5.95056783839904e+001dB,-1.13960471572397e+002°)
1.10956947206785e-001	(-5.92314575066370e+001dB,-1.14092324479667e+002°)
1.14869835499704e-001	(-5.89578547844509e+001dB,-1.14249496395823e+002°)
1.18920711500272e-001	(-5.86849820529744e+001dB,-1.14431985107207e+002°)
1.23114441334492e-001	(-5.84129528158586e+001dB,-1.14639784784442e+002°)
1.27456062731926e-001	(-5.81418824527885e+001dB,-1.14872884528916e+002°)
1.31950791077289e-001	(-5.78718884096102e+001dB,-1.15131266723374e+002°)
1.36604025675440e-001	(-5.76030903677747e+001dB,-1.15414905190411e+002°)
1.41421356237310e-001	(-5.73356103901415e+001dB,-1.15723763164062e+002°)
1.46408569594563e-001	(-5.70695730399382e+001dB,-1.16057791081401e+002°)
1.51571656651040e-001	(-5.68051054696157e+001dB,-1.16416924203200e+002°)
1.56916819579350e-001	(-5.65423374761907e+001dB,-1.16801080074904e+002°)
1.62450479271247e-001	(-5.62814015195530e+001dB,-1.17210155842093e+002°)
1.68179283050743e-001	(-5.60224327002614e+001dB,-1.17644025437653e+002°)
1.74110112659225e-001	(-5.57655686932263e+001dB,-1.18102536661200e+002°)
1.80250092522166e-001	(-5.55109496339565e+001dB,-1.18585508175113e+002°)
1.86606598307362e-001	(-5.52587179540536e+001dB,-1.19092726445426e+002°)
1.93187265784969e-001	(-5.50090181629740e+001dB,-1.19623942660015e+002°)
2.00000000000000e-001	(-5.47619965734645e+001dB,-1.20178869660597e+002°)
2.07052984768276e-001	(-5.45178009685529e+001dB,-1.20757178929366e+002°)
2.14354692507259e-001	(-5.42765802085828e+001dB,-1.21358497675038e+002°)
2.21913894413569e-001	(-5.40384837775750e+001dB,-1.21982406066770e+002°)
2.29739670999407e-001	(-5.38036612690310e+001dB,-1.22628434667619e+002°)
2.37841423000545e-001	(-5.35722618123933e+001dB,-1.23296062121719e+002°)
2.46228882668984e-001	(-5.33444334424023e+001dB,-1.23984713151017e+002°)
2.54912125463853e-001	(-5.31203224149274e+001dB,-1.24693756917942e+002°)
2.63901582154579e-001	(-5.29000724741357e+001dB,-1.25422505809672e+002°)
2.73208051350880e-001	(-5.26838240772176e+001dB,-1.26170214697604e+002°)
2.82842712474620e-001	(-5.24717135843035e+001dB,-1.26936080721855e+002°)
2.92817139189126e-001	(-5.22638724225326e+001dB,-1.27719243645298e+002°)
3.03143313302080e-001	(-5.20604262345414e+001dB,-1.28518786814591e+002°)
3.13833639158701e-001	(-5.18614940227426e+001dB,-1.29333738756905e+002°)
3.24900958542495e-001	(-5.16671873017740e+001dB,-1.30163075430753e+002°)
3.36358566101487e-001	(-5.14776092721313e+001dB,-1.31005723137685e+002°)
3.48220225318451e-001	(-5.12928540286049e+001dB,-1.31860562088687e+002°)
3.60500185044333e-001	(-5.11130058169941e+001dB,-1.32726430605695e+002°)
3.73213196614724e-001	(-5.09381383525768e+001dB,-1.33602129924478e+002°)
3.86374531569939e-001	(-5.07683142130411e+001dB,-1.34486429551371e+002°)
4.00000000000001e-001	(-5.06035843176338e+001dB,-1.35378073112930e+002°)
4.14105969536552e-001	(-5.04439875029401e+001dB,-1.36275784625299e+002°)
4.28709385014519e-001	(-5.02895502039589e+001dB,-1.37178275099382e+002°)
4.43827788827140e-001	(-5.01402862472539e+001dB,-1.38084249389064e+002°)
4.59479341998816e-001	(-4.99961967606453e+001dB,-1.38992413183368e+002°)
4.75682846001090e-001	(-4.98572702016626e+001dB,-1.39901480039516e+002°)
4.92457765337968e-001	(-4.97234825044621e+001dB,-1.40810178352895e+002°)
5.09824250927707e-001	(-4.95947973425617e+001dB,-1.41717258161590e+002°)
5.27803164309160e-001	(-4.94711665023683e+001dB,-1.42621497687726e+002°)
5.46416102701760e-001	(-4.93525303603700e+001dB,-1.43521709524848e+002°)
5.65685424949240e-001	(-4.92388184549474e+001dB,-1.44416746389887e+002°)
5.85634278378253e-001	(-4.91299501420784e+001dB,-1.45305506369392e+002°)
6.06286626604162e-001	(-4.90258353231224e+001dB,-1.46186937602299e+002°)
6.27667278317403e-001	(-4.89263752317432e+001dB,-1.47060042354989e+002°)
6.49801917084991e-001	(-4.88314632666946e+001dB,-1.47923880458313e+002°)
6.72717132202974e-001	(-4.87409858569417e+001dB,-1.48777572090162e+002°)
6.96440450636902e-001	(-4.86548233458628e+001dB,-1.49620299900490e+002°)
7.21000370088667e-001	(-4.85728508816856e+001dB,-1.50451310488280e+002°)
7.46426393229449e-001	(-4.84949393022401e+001dB,-1.51269915251134e+002°)
7.72749063139880e-001	(-4.84209560030085e+001dB,-1.52075490638091e+002°)
8.00000000000004e-001	(-4.83507657787012e+001dB,-1.52867477844471e+002°)
8.28211939073106e-001	(-4.82842316298731e+001dB,-1.53645381994097e+002°)
8.57418770029038e-001	(-4.82212155274798e+001dB,-1.54408770859090e+002°)
8.87655577654280e-001	(-4.81615791295851e+001dB,-1.55157273170598e+002°)
9.18958683997632e-001	(-4.81051844459720e+001dB,-1.55890576575507e+002°)
9.51365692002181e-001	(-4.80518944474906e+001dB,-1.56608425294385e+002°)
9.84915530675938e-001	(-4.80015736183452e+001dB,-1.57310617534942e+002°)
1.01964850185541e+000	(-4.79540884506166e+001dB,-1.57997002713307e+002°)
1.05560632861832e+000	(-4.79093078812386e+001dB,-1.58667478532518e+002°)
1.09283220540352e+000	(-4.78671036725560e+001dB,-1.59321987964173e+002°)
1.13137084989848e+000	(-4.78273507382472e+001dB,-1.59960516175225e+002°)
1.17126855675651e+000	(-4.77899274170809e+001dB,-1.60583087437641e+002°)
1.21257325320832e+000	(-4.77547156973238e+001dB,-1.61189762054286e+002°)
1.25533455663481e+000	(-4.77216013949732e+001dB,-1.61780633329991e+002°)
1.29960383416998e+000	(-4.76904742893422e+001dB,-1.62355824612441e+002°)
1.34543426440595e+000	(-4.76612282194496e+001dB,-1.62915486423417e+002°)
1.39288090127381e+000	(-4.76337611449086e+001dB,-1.63459793697040e+002°)
1.44200074017734e+000	(-4.76079751748930e+001dB,-1.63988943138067e+002°)
1.49285278645890e+000	(-4.75837765686496e+001dB,-1.64503150710037e+002°)
1.54549812627976e+000	(-4.75610757110383e+001dB,-1.65002649260106e+002°)
1.60000000000001e+000	(-4.75397870663002e+001dB,-1.65487686284840e+002°)
1.65642387814621e+000	(-4.75198291130356e+001dB,-1.65958521838979e+002°)
1.71483754005808e+000	(-4.75011242633268e+001dB,-1.66415426587217e+002°)
1.77531115530856e+000	(-4.74835987686264e+001dB,-1.66858679997447e+002°)
1.83791736799527e+000	(-4.74671826146960e+001dB,-1.67288568672555e+002°)
1.90273138400437e+000	(-4.74518094079561e+001dB,-1.67705384816734e+002°)
1.96983106135188e+000	(-4.74374162550499e+001dB,-1.68109424831466e+002°)
2.03929700371083e+000	(-4.74239436375373e+001dB,-1.68500988035620e+002°)
2.11121265723664e+000	(-4.74113352830193e+001dB,-1.68880375503681e+002°)
2.18566441080705e+000	(-4.73995380344344e+001dB,-1.69247889015762e+002°)
2.26274169979697e+000	(-4.73885017183584e+001dB,-1.69603830112895e+002°)
2.34253711351302e+000	(-4.73781790135455e+001dB,-1.69948499251030e+002°)
2.42514650641665e+000	(-4.73685253204883e+001dB,-1.70282195047150e+002°)
2.51066911326962e+000	(-4.73594986328495e+001dB,-1.70605213611063e+002°)
2.59920766833997e+000	(-4.73510594112038e+001dB,-1.70917847956545e+002°)
2.69086852881191e+000	(-4.73431704598349e+001dB,-1.71220387485736e+002°)
2.78576180254762e+000	(-4.73357968067635e+001dB,-1.71513117540938e+002°)
2.88400148035468e+000	(-4.73289055874975e+001dB,-1.71796319018222e+002°)
