Freq.	V(n002)
Step Information: Rl=2  (Run: 1/2)
1.00000000000000e-001	(5.11818823202198e+000dB,1.41872920561354e+002°)
1.03526492384138e-001	(5.67302423146951e+000dB,1.41183462634680e+002°)
1.07177346253629e-001	(6.22562762586104e+000dB,1.40454659169434e+002°)
1.10956947206785e-001	(6.77580726301398e+000dB,1.39686239515064e+002°)
1.14869835499704e-001	(7.32336596951417e+000dB,1.38877951261116e+002°)
1.18920711500272e-001	(7.86810035042365e+000dB,1.38029564104196e+002°)
1.23114441334492e-001	(8.40980063192906e+000dB,1.37140874008360e+002°)
1.27456062731926e-001	(8.94825055262715e+000dB,1.36211707647682e+002°)
1.31950791077289e-001	(9.48322730938311e+000dB,1.35241927115514e+002°)
1.36604025675440e-001	(1.00145015638730e+001dB,1.34231434880166e+002°)
1.41421356237310e-001	(1.05418375160270e+001dB,1.33180178961310e+002°)
1.46408569594563e-001	(1.10649930505875e+001dB,1.32088158295616e+002°)
1.51571656651040e-001	(1.15837199628915e+001dB,1.30955428253660e+002°)
1.56916819579350e-001	(1.20977642697307e+001dB,1.29782106263489e+002°)
1.62450479271247e-001	(1.26068666107403e+001dB,1.28568377489192e+002°)
1.68179283050743e-001	(1.31107627451953e+001dB,1.27314500505601e+002°)
1.74110112659225e-001	(1.36091841483092e+001dB,1.26020812903293e+002°)
1.80250092522166e-001	(1.41018587101755e+001dB,1.24687736751083e+002°)
1.86606598307362e-001	(1.45885115393022e+001dB,1.23315783836912e+002°)
1.93187265784969e-001	(1.50688658713077e+001dB,1.21905560602375e+002°)
2.00000000000000e-001	(1.55426440817455e+001dB,1.20457772681609e+002°)
2.07052984768276e-001	(1.60095688002485e+001dB,1.18973228951912e+002°)
2.14354692507259e-001	(1.64693641212337e+001dB,1.17452845001816e+002°)
2.21913894413569e-001	(1.69217569043208e+001dB,1.15897645922563e+002°)
2.29739670999407e-001	(1.73664781554551e+001dB,1.14308768331162e+002°)
2.37841423000545e-001	(1.78032644775015e+001dB,1.12687461537943e+002°)
2.46228882668984e-001	(1.82318595769028e+001dB,1.11035087778485e+002°)
2.54912125463853e-001	(1.86520158108816e+001dB,1.09353121439547e+002°)
2.63901582154579e-001	(1.90634957577363e+001dB,1.07643147220674e+002°)
2.73208051350880e-001	(1.94660737910741e+001dB,1.05906857187762e+002°)
2.82842712474620e-001	(1.98595376374285e+001dB,1.04146046691588e+002°)
2.92817139189126e-001	(2.02436898956904e+001dB,1.02362609142975e+002°)
3.03143313302080e-001	(2.06183494961924e+001dB,1.00558529656395e+002°)
3.13833639158701e-001	(2.09833530771963e+001dB,9.87358775948945e+001°)
3.24900958542495e-001	(2.13385562569449e+001dB,9.68967980708323e+001°)
3.36358566101487e-001	(2.16838347804074e+001dB,9.50435024781622e+001°)
3.48220225318451e-001	(2.20190855213354e+001dB,9.31782581525928e+001°)
3.60500185044333e-001	(2.23442273222663e+001dB,9.13033772748432e+001°)
3.73213196614724e-001	(2.26592016575925e+001dB,8.94212051491776e+001°)
3.86374531569939e-001	(2.29639731077257e+001dB,8.75341080035163e+001°)
4.00000000000001e-001	(2.32585296356297e+001dB,8.56444604684630e+001°)
4.14105969536552e-001	(2.35428826604921e+001dB,8.37546329000291e+001°)
4.28709385014519e-001	(2.38170669269589e+001dB,8.18669787144455e+001°)
4.43827788827140e-001	(2.40811401720454e+001dB,7.99838219031402e+001°)
4.59479341998816e-001	(2.43351825954732e+001dB,7.81074448916578e+001°)
4.75682846001090e-001	(2.45792961426372e+001dB,7.62400768982896e+001°)
4.92457765337968e-001	(2.48136036126072e+001dB,7.43838829365613e+001°)
